# STATION: LBNL1
# STATION NAME: Berkeley Lab
# LATITUDE: 37.8771
# LONGITUDE: -122.2486
# ELEVATION [ft]: 888
# STATE: CA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_fifteen_minute_set_1,solar_radiation_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,Inches,W/m**2,volts,Fahrenheit,Fahrenheit,code,INHG,Fahrenheit,Fahrenheit,INHG
LBNL1,09/10/2019 22:00 PDT,29.01,62.08,64.0,70.48,2.59,343.7,4.81,0.0,0.0,13.04,52.3,,NNW,29.94,,,
LBNL1,09/10/2019 22:15 PDT,29.01,62.31,63.01,70.02,2.33,257.8,4.72,0.0,0.0,13.04,52.34,,WSW,29.95,,,
LBNL1,09/10/2019 22:30 PDT,29.02,61.93,61.81,70.72,1.63,131.8,4.65,0.0,0.0,13.05,52.24,,SE,29.95,,,
LBNL1,09/10/2019 22:45 PDT,29.02,61.47,62.19,72.12,2.95,107.0,4.97,0.0,0.0,13.05,52.34,,ESE,29.95,,,
LBNL1,09/10/2019 23:00 PDT,29.02,61.21,62.04,73.31,2.89,103.6,6.8,0.0,0.0,13.05,52.54,,ESE,29.95,,,
LBNL1,09/10/2019 23:15 PDT,29.02,61.29,62.49,73.23,3.49,138.3,6.11,0.0,0.0,13.06,52.58,,SE,29.96,,,
LBNL1,09/10/2019 23:30 PDT,29.02,61.2,61.56,73.28,2.55,159.0,7.56,0.0,0.0,13.06,52.51,,SSE,29.96,,,
LBNL1,09/10/2019 23:45 PDT,29.02,60.91,61.5,74.03,3.56,119.3,7.25,0.0,0.0,13.06,52.51,,ESE,29.96,,,
LBNL1,09/11/2019 00:00 PDT,29.02,60.73,61.68,74.22,2.66,119.9,5.66,0.0,0.0,13.07,52.41,,ESE,29.96,,,
LBNL1,09/11/2019 00:15 PDT,29.02,60.6,61.72,74.57,2.24,132.2,4.12,0.0,0.0,13.07,52.41,,SE,29.96,,,
LBNL1,09/11/2019 00:30 PDT,29.02,60.42,61.48,75.11,3.09,133.7,4.81,0.0,0.0,13.07,52.44,,SE,29.96,,,
LBNL1,09/11/2019 00:45 PDT,29.02,60.37,61.48,75.34,3.47,147.8,5.19,0.0,0.0,13.07,52.47,,SSE,29.96,,,
LBNL1,09/11/2019 01:00 PDT,29.03,60.15,61.2,75.25,1.95,153.0,3.89,0.0,0.0,13.08,52.23,,SSE,29.97,,,
LBNL1,09/11/2019 01:15 PDT,29.04,59.79,60.31,75.76,3.83,141.8,7.63,0.0,0.0,13.08,52.06,,SE,29.98,,,
LBNL1,09/11/2019 01:30 PDT,29.04,59.67,60.12,77.0,5.26,118.3,9.53,0.0,0.0,13.08,52.39,,ESE,29.98,,,
LBNL1,09/11/2019 01:45 PDT,29.04,59.58,59.9,77.29,3.78,111.7,6.71,0.0,0.0,13.09,52.41,,ESE,29.98,,,
LBNL1,09/11/2019 02:00 PDT,29.04,59.41,59.79,77.62,5.3,106.5,8.16,0.0,0.0,13.09,52.36,,ESE,29.98,,,
LBNL1,09/11/2019 02:15 PDT,29.04,59.34,59.79,78.26,3.96,112.7,6.17,0.0,0.0,13.09,52.51,,ESE,29.98,,,
LBNL1,09/11/2019 02:30 PDT,29.04,59.2,59.65,77.86,3.89,130.2,6.87,0.0,0.0,13.09,52.24,,SE,29.98,,,
LBNL1,09/11/2019 02:45 PDT,29.04,58.8,59.41,77.76,3.8,112.7,5.79,0.0,0.0,13.09,51.81,,ESE,29.98,,,
LBNL1,09/11/2019 03:00 PDT,29.04,58.53,59.22,78.45,5.32,104.0,7.16,0.0,0.0,13.1,51.79,,ESE,29.98,,,
LBNL1,09/11/2019 03:15 PDT,29.03,58.57,59.29,80.1,6.13,108.2,8.16,0.0,0.0,13.1,52.4,,ESE,29.98,,,
LBNL1,09/11/2019 03:30 PDT,29.04,58.68,59.25,80.2,5.3,106.1,7.25,0.0,0.0,13.1,52.54,,ESE,29.98,,,
LBNL1,09/11/2019 03:45 PDT,29.04,58.68,59.52,79.8,4.94,113.5,8.16,0.0,0.0,13.1,52.41,,ESE,29.98,,,
LBNL1,09/11/2019 04:00 PDT,29.04,58.78,59.5,79.86,5.08,117.3,8.93,0.0,0.0,13.1,52.52,,ESE,29.98,,,
LBNL1,09/11/2019 04:15 PDT,29.04,58.78,59.41,79.85,4.79,112.7,7.85,0.0,0.0,13.1,52.52,,ESE,29.99,,,
LBNL1,09/11/2019 04:30 PDT,29.04,58.68,59.34,80.0,4.43,106.5,6.96,0.0,0.0,13.11,52.47,,ESE,29.99,,,
LBNL1,09/11/2019 04:45 PDT,29.05,58.66,59.45,80.7,4.99,108.3,7.72,0.0,0.0,13.11,52.69,,ESE,30.0,,,
LBNL1,09/11/2019 05:00 PDT,29.05,58.68,59.43,81.0,4.09,105.2,6.64,0.0,0.0,13.11,52.81,,ESE,29.99,,,
LBNL1,09/11/2019 05:15 PDT,29.05,58.55,59.54,80.8,2.53,123.0,5.1,0.0,0.0,13.11,52.62,,ESE,30.0,,,
LBNL1,09/11/2019 05:30 PDT,29.05,58.3,59.43,80.6,3.62,101.3,4.97,0.0,0.0,13.11,52.31,,ESE,30.0,,,
LBNL1,09/11/2019 05:45 PDT,29.06,58.1,59.43,80.7,1.86,108.3,3.29,0.0,0.0,13.11,52.15,,ESE,30.0,,,
LBNL1,09/11/2019 06:00 PDT,29.06,57.9,59.16,80.6,2.33,125.6,3.67,0.0,0.0,13.11,51.92,,SE,30.0,,,
LBNL1,09/11/2019 06:15 PDT,29.06,57.76,58.82,81.1,3.02,109.2,3.83,0.0,0.01,13.11,51.95,,ESE,30.01,,,
LBNL1,09/11/2019 06:30 PDT,29.06,57.67,58.84,81.2,2.42,121.9,3.96,0.0,0.08,13.11,51.9,,ESE,30.01,,,
LBNL1,09/11/2019 06:45 PDT,29.07,57.43,58.8,81.2,1.77,156.7,4.21,0.0,1.41,13.11,51.66,,SSE,30.02,,,
LBNL1,09/11/2019 07:00 PDT,29.07,57.42,58.57,81.9,1.92,145.1,3.67,0.0,6.93,13.11,51.89,,SE,30.02,,,
LBNL1,09/11/2019 07:15 PDT,29.08,57.33,58.42,81.8,1.74,151.7,4.12,0.0,14.47,13.12,51.77,,SSE,30.03,,,
LBNL1,09/11/2019 07:30 PDT,29.09,57.4,58.44,82.2,0.72,147.3,2.28,0.0,52.91,13.12,51.97,,SSE,30.04,,,
LBNL1,09/11/2019 07:45 PDT,29.09,57.54,58.39,82.1,0.18,298.1,1.52,0.0,106.7,13.12,52.07,,WNW,30.04,,,
LBNL1,09/11/2019 08:00 PDT,29.09,57.85,59.09,82.5,0.87,129.8,2.59,0.0,146.2,13.12,52.51,,SE,30.04,,,
LBNL1,09/11/2019 08:15 PDT,29.1,58.24,59.32,83.1,1.36,146.7,2.44,0.0,191.4,13.11,53.09,,SSE,30.05,,,
LBNL1,09/11/2019 08:30 PDT,29.1,58.64,59.47,83.1,0.83,250.5,2.21,0.0,238.2,13.11,53.48,,WSW,30.05,,,
LBNL1,09/11/2019 08:45 PDT,29.12,58.96,59.4,83.6,1.79,213.4,3.96,0.0,284.1,13.11,53.96,,SSW,30.06,,,
LBNL1,09/11/2019 09:00 PDT,29.12,59.47,60.21,83.5,1.14,220.0,3.89,0.0,330.3,13.11,54.43,,SW,30.07,,,
LBNL1,09/11/2019 09:15 PDT,29.12,60.06,60.82,83.3,1.68,244.0,3.6,0.0,375.6,13.11,54.94,,WSW,30.07,,,
LBNL1,09/11/2019 09:30 PDT,29.13,61.02,61.34,82.5,1.1,240.4,3.51,0.0,420.7,13.1,55.61,,WSW,30.07,,,
LBNL1,09/11/2019 09:45 PDT,29.13,64.51,62.55,80.8,0.65,241.9,2.91,0.0,465.1,13.1,58.44,,WSW,30.06,,,
LBNL1,09/11/2019 10:00 PDT,29.13,67.33,63.7,75.58,1.36,239.7,4.21,0.0,507.2,13.09,59.3,,WSW,30.06,,,
