# STATION: LBNL1
# STATION NAME: Berkeley Lab
# LATITUDE: 37.8771
# LONGITUDE: -122.2486
# ELEVATION [ft]: 888
# STATE: CA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_fifteen_minute_set_1,solar_radiation_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,Inches,W/m**2,volts,Fahrenheit,Fahrenheit,code,INHG,Fahrenheit,Fahrenheit,INHG
LBNL1,09/09/2020 22:00 PDT,28.97,56.76,55.6,92.9,0.68,353.8,3.36,0.0,0.0,13.13,54.71,,N,29.92,,,
LBNL1,09/09/2020 22:15 PDT,28.97,56.76,55.66,92.9,1.39,308.2,3.05,0.0,0.0,13.13,54.71,,NW,29.92,,,
LBNL1,09/09/2020 22:30 PDT,28.97,56.73,55.72,92.9,2.51,299.2,4.2,0.0,0.0,13.13,54.68,,WNW,29.92,,,
LBNL1,09/09/2020 22:45 PDT,,56.79,55.79,,,,,,,,,,,None,,,
LBNL1,09/09/2020 23:00 PDT,28.98,56.67,55.72,93.0,2.81,301.8,6.26,0.0,0.0,13.13,54.65,,WNW,29.92,,,
LBNL1,09/09/2020 23:15 PDT,28.98,56.61,55.71,93.2,3.82,303.6,6.26,0.0,0.0,13.13,54.65,,WNW,29.93,,,
LBNL1,09/09/2020 23:30 PDT,28.99,56.6,55.66,93.2,2.75,302.6,5.34,0.0,0.0,13.13,54.64,,WNW,29.93,,,
LBNL1,09/09/2020 23:45 PDT,28.99,56.53,55.61,93.3,3.12,300.0,5.8,0.0,0.0,13.14,54.6,,WNW,29.94,,,
LBNL1,09/10/2020 00:00 PDT,28.99,56.56,55.67,93.3,2.99,306.0,6.79,0.0,0.0,13.14,54.63,,NW,29.94,,,
LBNL1,09/10/2020 00:15 PDT,,56.53,55.64,,,,,,,,,,,None,,,
LBNL1,09/10/2020 00:30 PDT,28.99,56.52,55.61,93.4,2.32,309.7,6.03,0.0,0.0,13.14,54.62,,NW,29.94,,,
